Movie_Name,Storyline
Matchmaking 2,"After breaking box office records with their first film, the characters from Matchmaking return with this endearing romantic comedy set against Ashkenazi and Sepharic cultural tensions. Maor Schwitzer (Valley of Tears, Shtisel) stars as Baruch Auerbach, a graduate student who continues to live in a small room at the yeshiva where he studied and now serves as the faithful assistant to the matchmaker Malchi (Irit Kaplan, The Beauty Queen of Jerusalem). When Malchi assigns him the task of picking up her younger daughter Shira from the airport, he decides it's time for him to get married but struggles to be seen as an eligible suitor. Featuring a stellar supporting cast that includes Reymonde Amsallem (Seven Blessings), this sequel is a fun trip in its own right that does not require familiarity with its predecessor."
35-Chinna Katha Kaadu,"Revolves around a young mother facing challenges when her son fails to secure passing marks, igniting events that test the family's resilience and unity."
Rent Free,"After hitting emotional and financial rock bottom, best friends Ben and Jordan come up with a scheme to spend an entire year living ""rent free"" with the help of friends, family and strangers alike in a rapidly changing Austin."
Empire Queen: The Golden Age of Magic,"In a kingdom where magic is forbidden, a charming trio of adventurers embark on a dangerous quest in search of the legendary Sovereign Wand, which is needed to overthrow an evil queen and restore magic for all."
La pie voleuse,"An aging caregiver steals small amounts from her elderly clients despite caring for them devotedly and being loved in return, as she struggles financially but won't accept her situation."
I Heart Willie,"In this horrific origin story of the most beloved cartoon character of modern times, an obsessed fan of Steamboat Willie leads her friends into a deadly mousetrap where pure evil seeks to harvest their skin."
Amongst the Wolves,"Danny, an ex-soldier homeless in Dublin, meets Will, a teen fleeing a drug gang. Their encounter forces them to confront their pasts while navigating the harsh realities they face."
Nobody Likes Me,"Sara, a distant observer of others' lives, falls for graceful Martin. As she seeks physical intimacy, he withdraws, concealing his intersex status. When his secret emerges and spreads, they face harsh social realities."
Max,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?"
The Goat,"Forced to marry one of the elders in her Egyptian village, 12-year-old Hadiya escapes, traversing across the desert in search of her father, with her family goat, who soon begins talking to her with the voice of her late mother."
The Donkey Kong Country Movie,From the creator of The Yoshi Movie comes an adventure with monkeys and apes. The story of how Donkey Kong met Diddy Kong in an epic adventure to save their island from an evil crocodile named King K. Rool.
The School Duel,"When an opportunity for twisted notoriety arises, a tormented 13-year old, Sammy, enlists in a deadly competition."
Quiet Life,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances."
Martha,"The film covers the breadth of her extraordinary life through intimate interviews with Stewart herself, who opened up her personal archives to share never-before-seen photos, letters, and diary entries."
A World Apart,"Michele relocates from capital to remote village Rupe in Abruzzo park. Challenges emerge as she aims to keep local school with few students open, set against idyllic winter and summer backdrops."
Temurun,"As they try to come to terms with the loss they have experienced, will Dewi and Sena be able to face the mystery of the legacy passed down from their extended family?"
Witch Hunter,"A medieval town plagued by demonic beasts, once innocent woodland creatures twisted by a powerful witch. A fearless hunter and his warriors must confront her dark magic to restore peace."
Paradises of Diane,"After the birth of her first child, Diane disappears in an unknown city, but her body reawakens her memories and what she is fleeing from."
A Hip Hop Story,A pioneer of the culture joins forces with a few of rap music's elite performers to attempt to save hip hop.
Above the Knee,"Amir has a secret. He's tormented by visions of his leg rotting and longs to cut it off, convinced it doesn't belong to him. So, he devises a plan - one that will drag everyone around him into his relentless quest for a dark redemption."
ZEF: The Story of Die Antwoord,"The story of the controversial South African band Die Antwoord. Tracing them from their humble beginnings to global phenomenon. Like their music the documentary is shocking, provocative, highly creative and strangely funny."
Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters."
Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
Takintilar,"Famous therapist Dr. Baykal is late. Six obsessive compulsive disorder patients meet in a clinic, get acquainted, and explore group therapy while waiting for his consultation."
Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son."
Sensei's Pious Lie,"Turn a blind eye or lie to avoid getting hurt. If you don't do that, you won't be able to live..."
Casatoria,A degenerate gambler and his two idiot friends come up with an elaborate plan to pay down their colossal gambling debts by marrying the dysfunctional daughter of an upstart billionaire.
A Place Called Silence,"Chen Yutong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater violence."
Una famiglia sottosopra,"Alessandro Moretti has good reason to be disappointed with life. He hasn't worked for years, his wife Margherita is slowly drifting away from him, and his three children are as unbearable as they are disrespectful. It wouldn't be surprising if, deep down in his heart, he wanted to change everything. Including his family. After spending a day at an amusement park for Anna's birthday, the six of them, including their mother-in-law, stay to sleep in the park's hotel. The next day, when they wake up, the unimaginable happens: each member of the family wakes up in someone else's body. And that's just the beginning."
Silip,"Paresan-worker Joel notices Rose, the girl always receiving and sleeping with different guys at the house across the food stall. He soon starts to fantasize about Rose and does all he can to get a taste of her."
Dangal the biranpur files,"Bhuneshwar Sahu, son of Ishwar Sahu, was murdered in a dispute between two communities in village Binarpur of Bemetara chhatisgarh. After this incident that happened in April 2023, the situation here had become tense. The violence escalated so much that two other people also died. The police had to work hard to maintain peace. Realistic story."
Un/Happy for You,"Chef Juancho reunites with ex-girlfriend Zy, visiting hometown. Initially seeking revenge against her engagement, he unexpectedly redevelops feelings."
Nadanna Sambhavam,A group of family and friends in a residential association experience a major shift upon the arrival of a peculiar new tenant.
Sorgavaasal,A common man imprisoned in a corrupt system questions whether jails truly rehabilitate or push individuals deeper into crime's abyss.
Assassin's Guild,"After the Mermaid Wars, Iliad's city is attacked by dark forces. With the city full of rancor and corruption, Death herself forms an alliance and offers Atticus, an elite fighter, the chance to return to life. This gift comes at a price."
Do Aur Do Pyaar,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them."
Amusement Park,"Anonymous figures walk the streets in search of encounters, until one of them breaks through the barred gate of the city park and begins to explore its paths. This forbidden territory is then sown by the imperative of desire."
Five Blind Dates,"A fortune teller tells a woman that on one of the next five blind dates she goes on, she will meet her soulmate."
Throuple,"Ysay and Hannah, who were in a Throuple relationship, find themselves searching for a new partner after losing their boyfriend. Will they find the perfect third piece?"
Down the Rabbit Hole,"Raised in opulence and culture, 10-year-old Tochtli's lavish life contrasts with the darkness that seeps in from his father's criminal activities."
Double Ismart,A notorious criminal with a terminal brain tumor hires a rogue scientist to transfer his mind into the body of a street-smart renegade with a unique memory transfer port in his brain.
Ghost Cat Anzu,"Friendship shared between Karin, a strong-minded girl sent to live with her monk granddad in the Japanese countryside, and Anzu, the even-more unpredictable phantom feline who acts as her guardian."
24 Hours to D-Day,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
Chapel,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is
From Embers,"After her husband dies in a lab fire, a widowed mother of an autistic son must try to piece her life together while uncovering what really happened on that fateful night."
Goldilocks and the Two Bears,"Follows Ingrid, Ian and Ivy, three unique strangers who find each other in an uninhabited condominium. They discover they actually have a lot in common, and start wondering whether they might be each other's salvation."
She's Got No Name,"A bizarre case caused thousands of waves. There are different opinions on the truth. When the whole story of the case was gradually restored like pieces of a puzzle, people realized that the truth was not that important anymore."
The Demon Disorder,"Tells the story of Graham, Jake and Phillip Reilly and their deceased father. Their pasts collide when a family secret is discovered, leading their father's garage to become the site of revenge from beyond the grave."
Narayaneente Moonnaanmakkal,"Long-separated brothers gather at their childhood home to bid farewell to their terminally ill mother, but old wounds resurface as they confront their shared history under the same roof."
Daniela Forever,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
Noche De Bodas,"Nico and Lucia are getting married. What could go wrong? Apparently everything, because their exes are there. They will have to face their stormy past in an explosive wedding night."
Justicia Paranormal,A paranormal investigator finds a case worse than expected
Observados,An emergency call operator uses his boss's computer to illegally access strangers' private video calls after she leaves on vacation.
The Bodyguard,"Former special police sniper Zhong Xiaonan was hired by security company Gao Bin to protect the son of Chinese scientist Lin Heng, Lin Zihao, from returning to China. The scientific research achievements mastered by the Lin father and son have aroused the covetousness of overseas tycoons. They sent a killer group to try to kidnap Lin Zihao and steal core data, and even colluded with local police officials to launch a heavy siege on Zhong Xiaonan and Lin Zihao. In danger, Zhong Xiaonan teamed up with Chinese police officer Peter and resolutely decided to fight against evil forces to the end, and overthrow all ""black evil""."
Beyond the Lake,The seemingly picturesque life of an ex-musician musician turns upside down when the woman who caused him to quit music moves in down the street.
The Beach Boys,A celebration of the legendary band that revolutionized pop music and created the harmonious sound that personified the California Dream.
Nobu,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy."
Trapped Inn,An American cycling team trains at a remote European lodge. Teammates start dying mysteriously. Rivals Connor and Greg battle to survive and uncover the cause behind the team's demise.
They Called Him Mostly Harmless,"A hiker found dead in Florida wilderness is identified by internet sleuths after 2 years. His identity triggers more questions as multiple hikers claim to have met him, but he never revealed his name."
Kill Me If You Dare,A winning lottery ticket has grave consequences for a married couple when they start hatching plans to kill each other for the prize money.
Mielensäpahoittajan rakkaustarina,Cupid's arrows can pierce even the oldest flannel shirt.
Sweet Bobby: My Catfish Nightmare,"A woman's online courtship takes an unsettling turn when her romantic interest harbors a dark secret and sinister motives, leading to a harrowing ordeal."
Warchief,"A group of guardians are tasked with protecting a messenger who must deliver vital information to their king. On their journey through an ancient land, they face a battle filled with plagues, dark magic and vile monsters."
To Live Through Death,"After a tragic loss of his family, Chen, an ex criminal changes his face with cosmetic surgery and becomes a cook in a restaurant. Fifteen years later a woman asks him for help against human traffic gangs."
Obraz,A hunted child will find refuge in the house of the enemy. The host faces a terrible choice: save the child's life or risk losing his own family.
Frida,"A raw and magical journey into the life of iconic artist Frida Kahlo, told through her own words from diaries, letters, essays, and interviews. Vividly brought to life with lyrical animation inspired by her unforgettable artwork."
Out of the Nest,"In the Kingdom of Castilia, a dark force rises again. Days from the coronation of the new Emperor and Empress, their seven royal fledglings are taken and it's up to one hero to return them safely; a teenage delivery boy, Arthur the Goat. His dreams of becoming a world-class barber are put on hold when he becomes a parent overnight. If he's going to keep the rambunctious toddlers safe on their journey, he must first grow up, discover his own past, and along the way, awaken forgotten champions. Can Arthur return the heirs and ultimately save the kingdom?"
The Last Movie They Ever Made,"A desperate LA screenwriter reunites with old friends to make a movie together, but is secretly making an exploitive tell-all documentary about the experience."
Little Wife,"In the late 1940s, a 15-year-old girl is concubine of an older master. She waits for her husband every day and falls in love with a student who sings in front of her house. Imagine her disappointment that his song is for a girl next door."
Spiders on a Plane,"A group of four friends takes on a plane full of deadly venomous spiders, accidentally released by a mad Russian scientist attacking all on-board the 747 flight from the UK to Colombia."
Victory,"A high school dance duo and a soccer team on a remote island. Two girls create a cheer leading club to pursue their love of dance, but they soon find themselves enthusiastically cheering on the soccer team and the entire island."
Wild Wild Space,"Focus on the intense rivalry between two visionaries and founders of contesting rocket companies, Chris Kemp and Peter Beck."
Intercepted,Destruction in Ukraine war shown through lengthy tableaux. Soldiers' phone calls to families reveal parallel world. Sound and image confront one another.
Memory Lane,"A bitter-aged man reluctantly drives to Spain to pay a last visit to a dying friend, along with his wife who's suffering from dementia. But as their journey unfolds, he slowly starts to soften up and rediscovers the meaning of love."
Anand Sreebala,"A common man's quest to unravel a law student's mysterious death leads him down a dark path, confronting secrets and his own demons in a high-stakes investigation."
Skelly,"After the death of his Grandfather, a boy's father dealing with grief sends him in a journey to understand death, while putting together the annual haunted house."
Everybody Loves Jenifa,"Jenifa's popularity fades when a shady new neighbor, Lobster, outshines her charity work. In Ghana, Jenifa and friends face a deadly drug baron after a bag of drugs is mistakenly left in their rental."
Børnene fra Sølvgade,"Four children live by their own rules in an apartment without adults. When the school inspector starts questioning their always absent parents, the kids come up with a plan to avoid being sent to an orphanage: they will hire a housekeeper."
Sayen: The Huntress,"Sayen joins a clandestine resistance group with a plan involving Valerie, who will provide needed information in exchange for her freedom. The rescue operation pushes Sayen to extremes limits, leading to a final confrontation."
The Weekend,"Gripping Nigerian thriller exploring in-law dynamics through unpredictable twists and turns, keeping viewers hooked until the riveting conclusion."
"Love, Danielle","Amid family drama and dysfunction, a woman who carries a BRCA gene mutation must decide whether or not to remove her breasts and ovaries to reduce her cancer risk."
In Vitro,"On a struggling cattle farm some years in the future, a woman discovers the unsettling consequences of her husband's animal breeding technology."
Thayyal Machine,Police Officer Shiva and his family move into a rented house where they encounter a sewing machine with supernatural powers.
Ride Away,"Mathias takes his best friend Philippe on a bicycle road trip. Together they will retrace the journey that Youri, his son, had undertaken before tragically disappearing. An epic that they will experience with tenderness, humor and emotion."
Funny Birds,"Thrown together under tragic circumstances, three generations of women from the same family are forced to learn to live together on a small rural chicken farm in New Jersey, which generates moving and amusing situations."
Gatao: Like Father Like Son,Ambitious drug dealer Michael and his brother Scorpion find themselves drafted into their father's turf war as rival gangs compete in Dingzhuang.
Dirty Boy,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
The Old Bachelor,"Two Iranian brothers live with their abusive father. When he rents to a young woman planning to marry her, her attraction to the older son creates tension in their already fractured family."
The Yoshi Movie,"A group of intelligent dinosaurs living peacefully on their island face turmoil when a madman captures them and seizes control. After escaping, they unite to reclaim their home."
¿Quién es quién?,"Valentina make a wish for her 9th birthday. The next day, all the members of her family wake up with their bodies exchanged. Chaos grips the family as they wonder: Who is who?"
Karma,"Stranded in a remote graveyard, special investigation officer Amar Patnaik uncovers chilling secrets, only to realise he's caught in a gripping tale of Karma and Fate"
Binny and Family,Rebellious teenage Binny and her conservative grandfather from Bihar connect after a dramatic incident. Can the contrasting personalities bridge generational gaps and impact each other's lives?
Lesson Learned,"Young teacher Juci rebels against archaic school methods as Palkó, a new foreign student, struggles to adapt to Hungary's demanding education system. Their stories mirror societal oppression."
Nefarious,"A fast moving, funny and ultimately tragic European road movie about two hedonistic outlaws and their quest to open up a coffeeshop in Amsterdam."
WWII: Operation Phoenix,"A small group of Allied commandos must parachute into enemy occupied Europe and recover the information a female spy was carrying, at all costs. They soon realize that this would be the easy part of the mission."
The Sin,Dance students' experimental film shoot takes an eerie turn when a crew member returns from the dead. Their interpretive dances explore the supernatural incident through a shamanistic lens.
Thank You for Banking with Us,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to."
Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy."
September Says,"When September is suspended from their school, her sister July begins to assert her own independence. Tension in the family builds on holiday Ireland as a series of surreal encounters test the them all to their limit."
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
Cassino in Ischia,"The next generation of action heroes push Nic Cassino off his perch. He goes to Italy to work with struggling Italian directors on the first-ever ""Neo-Realist"" action movie in an effort to revitalize his career."
The Lonely Ones,"When a young couple wake up one morning to discover the world outside their apartment has vanished, they must figure out a way to survive. But are they as alone as they think?"
Bad Fish,"When a marine biologist investigates mysterious deadly attacks on fishermen in an Oregon coastal town, he discovers the culprit is a mermaid who must find a mate to breed with before returning to the sea."
Haunted Universities 3,"Three separate stories of haunting events in Thailand's universities. Jao Nang, Phee Take and The Invisible Shrine."
Nearing Death,Torment near death that is difficult to ward off with prayer terrorizes a family. What sin did they commit?
White with Fear,Operatives reveal how America's conservative power brokers built influence by exploiting racial divisions and promoting White victimhood narratives over decades.
While You Were Sleeping,"Successful author Joon-seok and art instructor Deok-hee seem normal, but Deok-hee's selective amnesia is their major issue. Joon-seok tragically dies during a journey, leading a grieving Deok-hee to discover an unexpected truth."
Panda Bear in Africa,"A panda travels from China to Africa, facing hippos, hyenas, gorillas. He rescues his kidnapped dragon friend, makes new friends, and protects their jungle home."
Unspeakable: Beyond the Wall of Sleep,Renowned oneirologist Ambrose London is requested to appear at Arkham Asylum to study the strange case of dissociative identity disorder in patient James Fhelleps/Joe Slater.
Dagr,Fame seeking YouTubers find themselves in a paranormal nightmare when the advert team they are stealing from awakens a murderous occultist from the past.
Family Therapy,"Young stranger disrupts seemingly perfect family's life, exposing their internal issues, fears, and dysfunctional relationships as external chaos invades their once idyllic existence."
Magic,Four teenagers come together to compose an original song for their upcoming college fest.
Shook,"After a run-in with his estranged father, an aspiring writer learns a secret that will force him to balance family, love, and success while navigating the divide between the exciting city life he wants and his suburban reality."
Lovers,"A woman returns home for the funeral of a friend who's taken his own life, she reconnects with her past and opens her heart to love again."
Swag,Follows the swaganika bloodline which changes the matriarchal society to patriarchal society.
31st Movie,"After being raped by her boyfriend on New Year's Eve, Kinjal faces police indifference and takes her life. Her sister fights a legal battle for justice. Will she succeed?"
Mongol,"Young Mongol is in love with daughter of his Lord. Her Father condemns him as a criminal and names him an outlaw. Mongol must navigate world full of treachery and deception, fighting for survival and justice."
Green Bones,"Notorious murderer set for release from prison. New corrections officer determined to keep him incarcerated by any means, despite lack of legal grounds. Explores conflict between justice, personal vendetta, and moral boundaries."
From the Ashes,"A seemingly normal school day ends in unthinkable disaster when a mysterious fire breaks out in the school basement. Chaos, panic and confusion prevail among students and teachers."
Father-in-law and Son-in-law,"A faded actor and struggling singer seek investors in their hometown. When both ventures fail, the actor moves in with his mentally declining father-in-law, leading to chaotic but touching moments as they navigate life together."
Almost Popular,"Susie and Bobbie, high school sophomores, go on a quest to fulfill their dream to become part of the elite POP Girls who rule the school. After a series of unfortunate and humiliating attempts, they get their big chance."
The Deserter,"1945: The last days of the war. In a remote mountain hut, Anton, a deserted SS man, and Hannah, a Jewish woman, meet. From distrust, feelings develop between the two. But the danger is ever present. For the two, the war is far from over."
Beacon,"An ambitious solo trip leads to a young sailor's shipwreck on a remote island, where she's rescued by the lone inhabitant, a lighthouse keeper. As reality twists and their trust fractures, survival becomes a grueling trial."
Aranmanai 4,"After his sister's suspicious death, a man decides to discover the hidden truth, setting off a chasm for chaos and terror."
Hunt the Wicked,"A detective and criminal mastermind clash in a dark city's underworld. Police and criminals converge as secrets unfold, leading to deadly confrontations. Both sides face crucial choices in the battle between law and crime."
Tempting,A titillating story about a group of five macho dancers navigating their own lives and the women who would do anything to keep them by their side.
The Stepdaughter 2,"After surviving a violent showdown, a conniving teen breaks out of a hospital determined to wreak havoc on her father's new wife and family."
Group Therapy,"A witty exploration of mental health challenges through relatable conversations, striking a balance between depth and levity."
The Last of the Sea Women,"On the shores of Jeju Island, a fierce group of South Korean divers fights to save their vanishing culture from looming threats."
Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
Grassland,A riveting social justice thriller highlighting the perils of marijuana incarceration.
Stealing Pulp Fiction,"It follows Jonathan, Elizabeth and Steve as they try to steal Quentin Tarantino's personal print of Pulp Fiction (1994)."
The Keepers of the 5 Kingdoms,A grandfather and curio shop owner in a small town in Arizona and his granddaughter are transported to a mystical land through a portal stone and have to find their way back.
The Shamrock Spitfire,"The story of Irish fighter pilot Brendan ""Paddy"" Finucane, who at the age of just 21, became the youngest ever wing commander in the Royal Air Force, and one of its greatest and most celebrated fighter aces during World War II."
Dear Paris,"In a series of interconnected stories, several Paris residents find their lives turned upside down when death knocks on their door."
Do Not Open,"After arguing with her parents a distraught teen opens an email promising acceptance, but what the message delivers infects the whole family."
Elton John: Never Too Late,"It showcases never-before-seen concert footage of him over the past 50 years, as well as hand-written journals and present-day footage of him and his family."
American Warrior,A man with a troubled past decides to turn his life around after a heroic act by training for a mixed martial arts tournament.
Camera,"Follows nine-year-old Oscar, a non-verbal child who struggles to fit in, as he meets Eric, a kind repair shop owner, and become unlikely friends after being brought together by a damaged film format camera."
Straight A Pregnancy,Brilliant student Kelsey gets pregnant after a one-night stand with notorious frat boy Ben. He cuts her off until learning about the pregnancy.
Gundi: Legend of Love,"Explore Georgi Asparuhov's rise from Sofia's outskirts to a football legend and his profound love for his wife Lita, set against 1960s Bulgaria's turmoil."
Layla,"When Layla, a struggling Arab drag queen, falls in love for the first time, they lose and find themselves in a transformative relationship that tests who they really are."
Altered Reality,"Oliver's life transforms when gifted a not-yet-existing miracle drug. Riches, unscrupulous pacts, and morphing of past and present create this 'Altered Reality, ' a gripping tale of redemption and choices."
Romeo,"A husband tries to win the love of his wife, who marries him because of familial obligation."
Shivam Bhaje,"A humble loan agent finds himself caught up in a global conspiracy to cause devastation in India. An accident triggers visions of crime and a serial killer, compelling him to unravel a larger mystery and prevent an impending catastrophe."
Sengkolo: Malam satu suro,"In Javanese culture, Sengkolo is a negative entity that often haunts humans, brings bad luck and brings disaster. On the first night of Suro, Sengkolo moved to target several weton who were his prey."
High Forces,"Gao Haojun, an international security expert, is hijacked by gunmen on the first flight of A380 airliner, and his blind daughter is one of the undercover hostages, a fact that he doesn't know."
Rest in Peace,"A family man who, cornered by debt, decides to take advantage of a chance and unpredictable circumstance to disappear."
House on Haunted Hill,"On October 31st, 1978, the WXIP-TV Channel 6 Team investigated the infamous ""Hill House"" on Live Television, with dire results. The broadcast was banned and never seen again, until now."
Ellis Park,Legendary Australian musician Warren Ellis takes us on a guided tour through his world and one very special animal sanctuary.
Space Cowboy,"Joe Jennings, a pioneer of skydiving cinematography, looks back on creating iconic moments in film and television, while he tries to turn a dreamlike vision into reality."
Uninvited,"Lilia Capistrano seeks revenge on billionaire Guilly Vega for killing her daughter. Disguised as Eva Candelaria, she attends his party with a vengeful plan."
A Dog's Will 2,"After 20 years missing, João Grilo returns to Taperoá to join his old friend Chicó and, after his story of resurrection spreads, he is disputed as an electoral candidate by the two most powerful politicians in the city."
ED: Extra Decent,"In a Malayali household shrouded in secrets, an amnesiac son uncovers his dark history, unveiling a twisted tale of revenge and redemption within his morally ambiguous family."
The Forbidden Camp: Mass Possession,"A group of students enjoying camping activities. Instead of being a fun moment, the atmosphere becomes tense when one by one they are possessed by evil forces."
Rise of OnlyFans,"The Rise of OnlyFans is an illuminating documentary that provides a comprehensive exploration of the unprecedented growth and cultural impact of the groundbreaking platform, OnlyFans."
Sunny,Sunny is the story of a middle-aged woman who dreams to fulfill her dying wish to reunite with high school friends.
Run Baby Run,A young woman has to run for her life.
The Aegean,A widowed Greek fisherman and a teenage refugee form an emotional bond while sailing the azure waters of the Aegean Sea.
Patna Shukla,"Tanvi Shukla, a lawyer in Patna's lower court, who is living her childhood dream of becoming a lawyer."
All the Lost Ones,"In a dystopian and climate-ravaged future America torn apart by civil war, a group hiding in a remote cabin become the target of a ruthless rebel militia leader and his platoon, viciously hunted in a fight for survival."
Anyone But Her,"Close friends face a challenge when one announces marriage, leading to plans to disrupt the wedding."
Lucky Winners,"After winning the lottery, the happy winners see their lives change into a nightmare."
Easter Evil,"In Las Vegas, a go-go dancer and a call girl are terrorized by a giant evil rabbit."
Om Bheem Bush,"Follows three scientists who come to a village to find a treasure, but things don't turn easy for them because there is black magic in that village."
To Kill a Wolf,"In a modern re-imagining of Little Red Riding Hood, a social pariah discovers a teenage runaway in the Oregon Wilderness and does his best to help her find a way home - a troubling exploration of trauma and redemption."
Battle for Disclosure,"Battle for Disclosure is a riveting documentary that delves into the decades-long cover-up of the UFO phenomenon by the U.S. government. The film presents compelling evidence and firsthand accounts from key figures in the field, including:"
Skinjacker,"The Isle of Skye in Scotland has its fair share of myths and legends. One night, what appears to be a meteorite crashes down upon the island's rocky hillside, cutting all power in the area. Then people start to vanish."
Steal Her Breath,"Virtuoso thief Laura faces her ultimate challenge: outmaneuvering relentless policewoman Maxine in a dangerous, passionate cat-and-mouse game, while a sadistic killer marks them for death."
The Killers,"Four South Korean directors explore killers and their jobs through dark humor and violence. Stories range from supernatural horror in a bar, to real-life hired assassins, 1970s strangers hunting a tattooed killer, and gangsters disrupting."
Conjuring the Cult,"After finding his daughter's bloodied body, David joins a support group, but a cult offers to resurrect her. His choices will determine not only his fate but his daughter's soul."
Ancika,"In 1995, Dilan, the former motorcycle gang leader, fell in love with Ancika, a woman who hated motorcycle gangs. Furthermore, Ancika didn't like dating, so Dilan had to find a way to conquer her, a very different woman from Milea, his ex."
Terrestrial,Dave is a teacher forced to work in an environment where he feels as though he doesn't belong. Maybe the discovery of a seemingly dead alien in a lava tube is the one thing that can get him out of his pathetic rut and back into the game?
Snow White and the Seven Samurai,"Left for dead by her rich and powerful stepmother, Snow White is taken in by a team of assassins - The Seven Samurai, who train her in their ways of fighting."
A Gangster's Kiss,"When actor Jack is cast in a new 'gangster film,' he asks his life-long friend Danny to shadow 'the family' in hilarious and deadly circumstances."
Nova & Alice,Nova and Alice are two contrasting artists who are reluctantly forced to go on a joint tour by their manager. The clash is inevitable - both musically and personally.
Vive e Deixa Andar,"A clumsy lonely orphan, Lucas is a moving target for all kinds of misfortunes. Spending a weekend in a mansion he will cause damage, discover secrets from his past and find love. A dangerous-romantic action comedy, with a license to laugh."
Kadaisi Ulaga Por,"In a dystopian future, political conflicts arise in India due to trade blockades by international forces, resulting in civil unrest."
Shinda Shinda No Papa,"A frustrated father in Canada, plans to take his mischievous son to India to discipline him."
In the Fire of War,"Set in New Zealand in 1864, follows the story of a crucial conflict of the nation's first land warfare, fought between Maori and colonial soldiers against insurmountable odds."
Water Horse,A paranormal investigator links a bizarre string of seemingly unrelated events to the disappearance of her mother.
Invasion,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Dutch Corps recruits must figure out what is the right thing to do."
Miki,"In the 1990s post-communist Slovakia, former woods worker Miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country."
Lioness,"When a 15-year-old rebellious Stefi goes missing, her mother Helena has nothing left to lose anymore - why cling to sanity when madness offers a chance for reconciliation and love?"
Biohack Yourself: Activation Beyond the Quantum,"In Chapter 3 of Biohack Yourself, the spotlight is on the transformative technologies of light therapy, frequency modulation, and hyperbaric innovation. This episode takes viewers deep into the science of red light therapy, PEMF (Pulsed Electromagnetic Fields), and hyperbaric oxygen chambers, uncovering how these modalities improve cellular repair, reduce inflammation, and accelerate recovery. Experts like Robby Besner, Vishen Lakhiani, and Danielle Rambur share their knowledge and personal experiences, offering a comprehensive guide to integrating these technologies into daily life. Whether it's for peak performance, chronic pain relief, or enhanced mental clarity, this chapter empowers viewers with practical tools to harness the energy of light and oxygen for a healthier, more vibrant life."
Summer Time,"Atta is taken to a mirror reading ceremony to identify the thief of his aunt's gold in the mirror. Unaware of the consequences of his words in that situation, Atta recounts everything he has heard from his aunt."
Free Falling,The perfect life of a strict and tough rhythmic gymnastics teacher of competition begins to escape out of her hands.
Goyo,"A young autistic museum guide lives by a strict routine until he falls in love with his coworker and must confront a whirlwind of new, intense emotions."
The Night They Came Home,A frontier lawman partners with an Indian detective to hunt down a ruthless band of teenage criminals known as the Rufus Buck Gang.
Thirsty,THIRSTY follows the upstart campaign of a gutsy public defender as she strives to unseat the incumbent mayor of Oakland and also keep her family intact.
Vadakkupatti Ramasamy,"A selfish, money-minded charlatan makes a living off his fellow villagers using their superstitious beliefs. When his major source of income is shut down, he tries numerous ways to reopen the temple."
The White House Effect,Explores the dramatic origin story of the climate crisis and how a political battle in the George H.W. Bush administration changed the course of history.
Nokturno,It centers on a Filipino family and a daughter who lives overseas as they get haunted by a primal and supernatural curse.
